anchor_type	stripe_direction	n_overlapping_loops	n_total_loops_of_type	observed_fraction	null_mean	null_sd	z_score	fold_enrichment	p_enrichment	p_enrichment_BH	p_depletion	p_depletion_BH
Active_Enhancer	gained	2	10	0.2	0.4546	0.733070650932051	2.10811877141054	4.39947206335239	0.0923907609239076	0.388041195880412	0.980701929807019	1
Active_Enhancer	lost	7	10	0.7	0.5396	0.808886438090606	7.98678244037558	12.9725722757598	9.99900009999e-05	0.0020997900209979	1	1
Active_Enhancer	unchanged	4	10	0.4	1.3401	1.22751076095763	2.16690564726692	2.98485187672562	0.0570942905709429	0.29974502549745	0.982901709829017	1
Active_Promoter	gained	3	12	0.25	0.5799	0.88050753509095	2.74852843791964	5.17330574236937	0.0486951304869513	0.29974502549745	0.984601539846015	1
Active_Promoter	lost	1	12	0.0833333333333333	0.631599999999998	0.931218640715361	0.395610637386938	1.58328055731476	0.421457854214579	0.610907659234077	0.87051294870513	1
Active_Promoter	unchanged	2	12	0.166666666666667	1.6666	1.44008743664488	0.231513720289623	1.20004800192008	0.458854114588541	0.610907659234077	0.757724227577242	1
Bivalent_Promoter	gained	0	3	0	0.1225	0.343373762180619	-0.356754107308769	0	1	1	0.882511748825118	1
Bivalent_Promoter	lost	1	3	0.333333333333333	0.1469	0.373810598346702	2.28217178371375	6.8073519400953	0.13998600139986	0.457229277072293	0.993200679932007	1
Bivalent_Promoter	unchanged	1	3	0.333333333333333	0.3485	0.559177089929255	1.16510495822071	2.86944045911047	0.307469253074693	0.572017798220178	0.960603939606039	1
Other	gained	13	75	0.173333333333333	5.0991	3.27006858106246	2.41612669708382	2.549469514228	0.0322967703229677	0.29974502549745	0.97980201979802	1
Other	lost	6	75	0.08	5.8109	3.52502252026517	0.0536450473473226	1.03254229121134	0.465453454654535	0.610907659234077	0.644235576442356	1
Other	unchanged	18	75	0.24	13.6634	5.14283436584633	0.843231512334803	1.31738805860913	0.218878112188781	0.510715595107156	0.824417558244176	1
Poised_Enhancer	gained	2	21	0.0952380952380952	0.9649	1.05089410876773	0.984970789505853	2.07275365322831	0.255774422557744	0.537126287371263	0.909309069093091	1
Poised_Enhancer	lost	2	21	0.0952380952380952	1.1713	1.14038868752528	0.726682059428643	1.70750448219927	0.326867313268673	0.572017798220178	0.874912508749125	1
Poised_Enhancer	unchanged	3	21	0.142857142857143	2.7948	1.72719173201122	0.118805571030065	1.07342206955775	0.524247575242476	0.647599945887764	0.69033096690331	1
Polycomb	gained	1	34	0.0294117647058824	1.6117	1.77325620082244	-0.344958613265411	0.620462865297512	0.685331466853315	0.799553377995534	0.61043895610439	1
Polycomb	lost	1	34	0.0294117647058824	1.9912	1.94162291651986	-0.510500773124689	0.502209722780233	0.77032296770323	0.818708129187081	0.518048195180482	1
Polycomb	unchanged	8	34	0.235294117647059	4.6448	2.90042655611563	1.15679536615932	1.7223561832587	0.172582741725827	0.457229277072293	0.888311168883112	1
Repressed_Promoter	gained	6	72	0.0833333333333333	5.3654	3.98043555741359	0.159429788737078	1.11827636336527	0.415358464153585	0.610907659234077	0.672432756724328	1
Repressed_Promoter	lost	4	72	0.0555555555555556	7.128	4.4512242517912	-0.702728018868356	0.561167227833894	0.77972202779722	0.818708129187081	0.312968703129687	1
Repressed_Promoter	unchanged	21	72	0.291666666666667	14.7655	6.07020547341268	1.02706572739702	1.42223426230063	0.174182581741826	0.457229277072293	0.85951404859514	1
